項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
12885,臺北漁產運銷股份有限公司,臺北市,中山區,臺北市中山區民族東路410巷2弄18.20號,龍膽石斑清肉,114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12886,臺北漁產運銷股份有限公司,臺北市,中山區,臺北市中山區民族東路410巷2弄18.20號,香魚,114/6/4,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12915,統健實業股份有限公司永春站門市(聖德科斯),臺北市,信義區,臺北市信義區忠孝東路五段394號,鮮乳(秀姑巒鮮乳),114/7/15,戴奧辛、戴奧辛類多氯聯苯及6項指標性非戴奧辛類多氯聯苯,合格,,,
12983,立峯蛋行,臺北市,北投區,臺北市北投區八仙里北投路1段39號,-,114/6/21,GHP,合格,,,
12984,振禾蛋店,臺北市,中正區,臺北市中正區詔安街40之8號,-,114/7/15,GHP,合格,,,
13055,立峯蛋行,臺北市,北投區,臺北市北投區八仙里北投路1段39號,未殺菌蛋白,114/6/21,標示,合格,,,
13056,立峯蛋行,臺北市,北投區,臺北市北投區八仙里北投路1段39號,未殺菌蛋黃,114/6/21,標示,合格,,,
13057,振禾蛋店,臺北市,中正區,臺北市中正區詔安街40之8號,未殺菌蛋黃液,114/6/25,標示,合格,,,
13058,振禾蛋店,臺北市,中正區,臺北市中正區詔安街40之8號,未殺菌蛋白液,114/6/25,標示,合格,,,
13234,立峯蛋行,臺北市,北投區,臺北市北投區八仙里北投路1段39號,未殺菌蛋白,114/6/21,食品中微生物,合格,,,
13235,立峯蛋行,臺北市,北投區,臺北市北投區八仙里北投路1段39號,未殺菌蛋黃,114/6/21,食品中微生物,合格,,,
13236,振禾蛋店,臺北市,中正區,臺北市中正區詔安街40之8號,未殺菌蛋黃液,114/6/25,食品中微生物,合格,,,
13237,振禾蛋店,臺北市,中正區,臺北市中正區詔安街40之8號,未殺菌蛋白液,114/6/25,食品中微生物,合格,,,
